FundamentalTime,FundamentalValue
2020-08-28 10:27:31.337099035,100330.0
2020-08-28 10:27:32.777003637,100349.0
2020-08-28 10:27:34.867997080,100364.0
2020-08-28 10:27:36.869790534,100360.0
2020-08-28 10:27:41.377955434,100415.0
2020-08-28 10:27:42.695704395,100398.0
2020-08-28 10:27:44.276671434,100371.0
2020-08-28 10:27:44.609262105,100373.0
2020-08-28 10:27:47.179369851,100409.0
2020-08-28 10:27:49.341986147,100400.0
2020-08-28 10:27:49.643154227,100397.0
2020-08-28 10:27:51.667738626,100383.0
2020-08-28 10:27:55.259815294,100401.0
2020-08-28 10:27:57.040691383,100418.0
2020-08-28 10:27:58.056081173,100439.0
2020-08-28 10:28:01.075748083,100392.0
2020-08-28 10:28:05.547842106,100266.0
2020-08-28 10:28:11.830946629,100297.0
2020-08-28 10:28:12.910876229,100307.0
2020-08-28 10:28:14.894646984,100309.0
2020-08-28 10:28:15.149791965,100310.0
2020-08-28 10:28:19.885238871,100302.0
2020-08-28 10:28:27.882719653,100327.0
2020-08-28 10:28:28.633484666,100324.0
2020-08-28 10:28:38.268683312,100313.0
2020-08-28 10:28:38.340698820,100313.0
2020-08-28 10:28:39.076378592,100319.0
2020-08-28 10:28:42.925482692,100292.0
2020-08-28 10:28:43.181865682,100300.0
2020-08-28 10:28:43.385620625,100302.0
2020-08-28 10:28:45.912454715,100322.0
2020-08-28 10:28:48.733589852,100346.0
2020-08-28 10:28:52.651064895,100316.0
2020-08-28 10:28:53.311750860,100319.0
2020-08-28 10:28:53.908620624,100319.0
2020-08-28 10:29:10.941713064,100483.0
2020-08-28 10:29:11.280549852,100487.0
2020-08-28 10:29:15.307788846,100503.0
2020-08-28 10:29:16.591924152,100507.0
2020-08-28 10:29:17.829489850,100518.0
2020-08-28 10:29:38.767919820,100126.0
2020-08-28 10:29:45.334624558,100116.0
2020-08-28 10:29:48.359578098,100112.0
2020-08-28 10:29:51.628405807,100110.0
2020-08-28 10:29:53.932095669,100085.0
2020-08-28 10:29:56.463151679,100096.0
2020-08-28 10:30:06.217825262,100184.0
2020-08-28 10:30:08.347224282,100202.0
2020-08-28 10:30:16.169375409,100331.0
2020-08-28 10:30:17.946220380,100322.0
2020-08-28 10:30:20.377401787,100291.0
2020-08-28 10:30:23.633409045,100280.0
2020-08-28 10:30:25.056923598,100280.0
2020-08-28 10:30:27.791332807,100282.0
2020-08-28 10:30:29.049552036,100295.0
2020-08-28 10:30:30.620999417,100302.0
2020-08-28 10:30:31.709215797,100285.0
2020-08-28 10:30:33.277078725,100294.0
2020-08-28 10:30:33.356609740,100294.0
2020-08-28 10:30:34.038997414,100300.0
2020-08-28 10:30:36.117188689,100269.0
2020-08-28 10:30:38.177468337,100237.0
2020-08-28 10:30:39.936938695,100277.0
2020-08-28 10:30:47.890907597,100365.0
2020-08-28 10:30:48.548803437,100363.0
2020-08-28 10:30:51.964356968,100363.0
